IdDate,Date,Month,Year,Trimester,DayOfWeek
20130418,18/4/2013,abril,2013,2,jueves
20130419,19/4/2013,abril,2013,2,viernes
20130420,20/4/2013,abril,2013,2,sábado
20130421,21/4/2013,abril,2013,2,domingo
20130422,22/4/2013,abril,2013,2,lunes
20130423,23/4/2013,abril,2013,2,martes
20130424,24/4/2013,abril,2013,2,miércoles
20130425,25/4/2013,abril,2013,2,jueves
20130426,26/4/2013,abril,2013,2,viernes
20130427,27/4/2013,abril,2013,2,sábado
20130428,28/4/2013,abril,2013,2,domingo
20130429,29/4/2013,abril,2013,2,lunes
20130430,30/4/2013,abril,2013,2,martes
20130501,1/5/2013,mayo,2013,2,miércoles
20130502,2/5/2013,mayo,2013,2,jueves
20130503,3/5/2013,mayo,2013,2,viernes
20130504,4/5/2013,mayo,2013,2,sábado
20130505,5/5/2013,mayo,2013,2,domingo
20130506,6/5/2013,mayo,2013,2,lunes
20130507,7/5/2013,mayo,2013,2,martes
20130508,8/5/2013,mayo,2013,2,miércoles
20130509,9/5/2013,mayo,2013,2,jueves
20130510,10/5/2013,mayo,2013,2,viernes
20130511,11/5/2013,mayo,2013,2,sábado
20130512,12/5/2013,mayo,2013,2,domingo
20130513,13/5/2013,mayo,2013,2,lunes
20130514,14/5/2013,mayo,2013,2,martes
20130515,15/5/2013,mayo,2013,2,miércoles
20130516,16/5/2013,mayo,2013,2,jueves
20130517,17/5/2013,mayo,2013,2,viernes
20130518,18/5/2013,mayo,2013,2,sábado
20130519,19/5/2013,mayo,2013,2,domingo
20130520,20/5/2013,mayo,2013,2,lunes
20130521,21/5/2013,mayo,2013,2,martes
20130522,22/5/2013,mayo,2013,2,miércoles
20130523,23/5/2013,mayo,2013,2,jueves
20130524,24/5/2013,mayo,2013,2,viernes
20130525,25/5/2013,mayo,2013,2,sábado
20130526,26/5/2013,mayo,2013,2,domingo
20130527,27/5/2013,mayo,2013,2,lunes
20130528,28/5/2013,mayo,2013,2,martes
20130529,29/5/2013,mayo,2013,2,miércoles
20130530,30/5/2013,mayo,2013,2,jueves
20130531,31/5/2013,mayo,2013,2,viernes
20130601,1/6/2013,junio,2013,2,sábado
20130602,2/6/2013,junio,2013,2,domingo
20130603,3/6/2013,junio,2013,2,lunes
20130604,4/6/2013,junio,2013,2,martes
20130605,5/6/2013,junio,2013,2,miércoles
20130606,6/6/2013,junio,2013,2,jueves
20130607,7/6/2013,junio,2013,2,viernes
20130608,8/6/2013,junio,2013,2,sábado
20130609,9/6/2013,junio,2013,2,domingo
20130610,10/6/2013,junio,2013,2,lunes
20130611,11/6/2013,junio,2013,2,martes
20130612,12/6/2013,junio,2013,2,miércoles
20130613,13/6/2013,junio,2013,2,jueves
20130614,14/6/2013,junio,2013,2,viernes
20130615,15/6/2013,junio,2013,2,sábado
20130616,16/6/2013,junio,2013,2,domingo
20130617,17/6/2013,junio,2013,2,lunes
20130618,18/6/2013,junio,2013,2,martes
20130619,19/6/2013,junio,2013,2,miércoles
20130620,20/6/2013,junio,2013,2,jueves
20130621,21/6/2013,junio,2013,2,viernes
20130622,22/6/2013,junio,2013,2,sábado
20130623,23/6/2013,junio,2013,2,domingo
20130624,24/6/2013,junio,2013,2,lunes
20130625,25/6/2013,junio,2013,2,martes
20130626,26/6/2013,junio,2013,2,miércoles
20130627,27/6/2013,junio,2013,2,jueves
20130628,28/6/2013,junio,2013,2,viernes
20130629,29/6/2013,junio,2013,2,sábado
20130630,30/6/2013,junio,2013,2,domingo
20130701,1/7/2013,julio,2013,3,lunes
20130702,2/7/2013,julio,2013,3,martes
20130703,3/7/2013,julio,2013,3,miércoles
20130704,4/7/2013,julio,2013,3,jueves
20130705,5/7/2013,julio,2013,3,viernes
20130706,6/7/2013,julio,2013,3,sábado
20130707,7/7/2013,julio,2013,3,domingo
20130708,8/7/2013,julio,2013,3,lunes
20130709,9/7/2013,julio,2013,3,martes
20130710,10/7/2013,julio,2013,3,miércoles
20130711,11/7/2013,julio,2013,3,jueves
20130712,12/7/2013,julio,2013,3,viernes
20130713,13/7/2013,julio,2013,3,sábado
20130714,14/7/2013,julio,2013,3,domingo
20130715,15/7/2013,julio,2013,3,lunes
20130716,16/7/2013,julio,2013,3,martes
20130717,17/7/2013,julio,2013,3,miércoles
20130718,18/7/2013,julio,2013,3,jueves
20130719,19/7/2013,julio,2013,3,viernes
20130720,20/7/2013,julio,2013,3,sábado
20130721,21/7/2013,julio,2013,3,domingo
20130722,22/7/2013,julio,2013,3,lunes
20130723,23/7/2013,julio,2013,3,martes
20130724,24/7/2013,julio,2013,3,miércoles
20130725,25/7/2013,julio,2013,3,jueves
20130726,26/7/2013,julio,2013,3,viernes
20130727,27/7/2013,julio,2013,3,sábado
20130728,28/7/2013,julio,2013,3,domingo
20130729,29/7/2013,julio,2013,3,lunes
20130730,30/7/2013,julio,2013,3,martes
20130731,31/7/2013,julio,2013,3,miércoles
20130801,1/8/2013,agosto,2013,3,jueves
20130802,2/8/2013,agosto,2013,3,viernes
20130803,3/8/2013,agosto,2013,3,sábado
20130804,4/8/2013,agosto,2013,3,domingo
